solar da,solar ac
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3.788359833,2.968840077
23.40492861,20.66052436
39.70613423,44.83452949
52.38712413,60.99683346
57.08492426,55.70175622
48.22080559,36.48507799
29.70667731,19.24592068
11.32487112,7.220692795
0.226629014,0.195193376
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.629443809,0.39989055
2.547748749,4.566940153
5.006308015,8.473000861
8.173996775,13.52097937
11.25834454,19.58659526
11.69844347,13.29069505
8.743493554,9.630270952
3.858541721,2.57552908
0.140363776,0.073837195
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3.011241635,5.011425444
15.34351528,26.23486703
24.74642615,33.45629089
31.58404281,50.37451228
37.74542773,50.5726299
36.72267293,43.77156631
32.41160424,30.6709472
14.88440876,16.925532
0.483231542,0.220780523
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
5.360872762,6.907798545
27.19182632,33.35979079
46.36025449,46.11534895
61.42377328,52.05010486
64.93286768,55.58917277
55.7814419,53.43985245
38.74113327,25.27132819
16.88605469,6.197937989
0.61920895,0.004386368
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4.198485241,4.816963129
20.89300186,28.89446816
36.33155511,55.38886197
49.3247082,84.26359147
55.12860413,96.87586161
53.28998488,92.65909983
42.92353516,52.8433064
19.74158026,21.8017111
0.863383435,0.620671073
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4.117337433,7.401996006
17.93805195,23.00942442
30.51303796,36.92298373
38.23304564,36.58815764
39.52190678,38.25863279
34.57262154,29.21759727
23.42759151,19.17208348
9.726771048,5.870422512
0.584849067,0.093575851
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
8.492008455,5.15178922
36.15171403,23.16367837
58.96667614,41.7260567
77.14012984,51.46379367
79.33770021,44.590355
65.86570194,30.55105315
42.62818638,21.84118841
18.23486285,9.500873096
0.993512353,0.300466208
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7.423196785,2.420544077
30.10729892,16.35969053
53.51880708,46.70458438
77.32362623,79.55774967
87.95983758,96.95262305
81.28890291,90.1866504
62.5730017,53.49687523
29.47785511,24.89702479
1.809376802,3.140639491
0,0
0,0
0,0
0,0
0,0
0,0
