wind da,wind ac
14.02555786,5.861893782
12.62651921,5.63523389
11.2470202,4.587908867
10.39509164,3.818046817
9.82062605,3.696901012
8.488022197,3.653913791
6.670835124,3.954824339
5.361678846,4.869279769
4.990425573,5.951776154
5.506272226,3.41943804
6.112001251,2.731642503
6.088553675,2.786353511
6.256594631,3.220133651
6.623939974,3.009105475
6.59658447,2.305678221
5.10375552,2.930946891
4.38078862,4.369064833
5.002149361,7.217945211
4.720778459,10.61002775
4.740318105,11.11415061
5.174098245,9.511899644
5.674313181,10.12544453
6.092461605,11.07116339
6.315213568,10.82105592
15.51447888,12.33342452
15.28781898,16.03814139
15.42459651,14.79541991
15.74895463,16.18273477
15.87400836,17.29258666
16.36249951,19.00816757
16.71030521,15.98343038
16.03423346,11.62608934
14.11544023,9.887060846
12.24745008,8.835827895
10.01602251,9.29305561
6.995193247,8.820196178
4.853648052,8.499745985
3.41943804,1.727304701
2.465903318,0.969166439
1.981320098,1.01215366
1.774199851,1.086404314
1.281800774,1.035601235
1.488921021,1.01215366
2.446363672,1.160654969
3.267028801,1.535816171
4.224471453,2.02430732
5.217085466,2.727734573
6.092461605,3.192778147
5.87361757,3.821954746
7.108523194,4.834108406
9.031224354,5.865801712
12.43503068,8.3277971
17.77326195,9.730743679
25.37418422,12.77111259
35.32377193,20.14928289
47.00066435,28.19961702
58.41181758,31.47836961
65.61022314,35.87869788
69.02966118,36.90257533
76.60322795,43.82742585
89.67134316,52.10051194
101.2427215,52.96807222
107.0303646,63.66407441
110.5787643,68.50209074
115.5926375,82.58626754
120.5752472,83.3170503
123.7445777,80.573684
124.17445,72.88287936
120.196178,68.70921099
113.3182227,68.90851538
105.4046661,60.75657509
95.57622416,53.94505452
72.6874829,48.97416859
68.73265856,42.32678104
68.23635156,37.12532729
70.20203994,31.87307046
74.05916605,34.9447028
77.03310016,41.54128727
77.52159131,39.51697995
77.05654774,46.96549299
76.68529446,48.37234749
77.15033804,50.30677244
79.63968893,53.11657353
83.5593419,50.82652702
89.19066787,55.52776584
93.05951776,62.67927625
92.19195748,61.0653015
89.21802337,61.96021728
88.22931728,77.56848646
88.33483137,77.83422564
88.30356794,75.15338622
89.35870882,78.49466568
88.99917933,69.51815233
87.19762398,71.3353394
85.88455977,72.85552386
84.05174098,70.78432139
73.04701239,65.46172183
66.99363008,63.5429286
61.37011997,53.21036383
58.57985853,45.56254641
59.44741881,45.60553363
59.90464653,41.85001368
58.93548009,42.15483215
58.28285591,42.8035484
57.57942866,44.96854117
53.40576029,40.94728204
48.02844972,32.95165892
45.4414006,35.36285123
46.84043925,37.18785416
51.88948376,44.28856149
57.56379694,39.52088788
64.09394662,40.04845832
71.60498652,45.95724725
77.25976005,44.56211653
79.19027707,46.09793271
79.03786783,46.16827543
77.80687014,43.54214702
75.67704873,42.39712376
73.38700223,40.77142522
72.97276173,43.30767126
66.50904686,36.4570714
66.02837157,35.67157763
65.50470905,36.49615069
65.75090859,33.8192192
64.55117433,35.79272344
61.99148071,33.74496854
61.16690766,29.9503693
61.96803314,34.16702489
62.08136309,35.62859041
59.93981789,33.49095314
53.80046114,31.4627379
45.05451561,21.47407089
38.29770605,17.31994216
33.67071789,14.07636094
30.19266091,11.04771582
27.7150338,10.84059557
26.42150924,6.987377389
24.49099222,8.699050373
19.8014772,5.115479308
16.0928524,2.74336629
14.35382391,2.278322717
14.76415647,2.379928876
21.03247489,5.912696862
32.68982766,7.12415491
18.99253586,10.34819649
25.91347845,16.15928719
31.80272773,25.33510493
36.87912775,30.30989878
41.69760444,28.18007738
45.05842354,32.04111142
47.95419907,31.09148462
49.64242448,34.71022705
48.97026066,30.80229786
46.30114502,29.93864551
42.41275548,27.10930478
39.03239673,25.22177498
37.66852945,23.72894603
39.86478565,30.28645121
42.79182461,39.48962445
43.84696549,44.36672008
46.00805033,43.86259721
51.24858338,39.93122045
55.87557153,40.65027942
57.90378678,44.95290945
58.40400172,48.841299
60.79565438,50.93985697
70.48341084,60.76829888
81.78123412,71.91371292
87.71737856,83.10602212
98.46809176,89.08515378
104.7559498,91.71519012
106.7646254,97.07686897
105.3929423,99.78506389
102.5675095,95.62702724
100.7972176,85.95881043
99.116808,82.72304506
96.76814256,72.82816835
91.99265309,64.55899019
84.96228848,59.42006331
77.16987768,46.08620892
70.19422408,36.73453437
63.50775724,27.53526906
56.01234906,19.63734417
49.24772363,21.53268983
43.85087342,22.48231662
39.95466802,17.25350737
36.06627848,14.49060143
31.59560749,13.38465747
26.85528938,10.83277971
22.00554926,7.468052679
18.56266364,4.087693931
15.20575247,3.087264059
